seller_firm_public_id,valid_from,valid_to,country_code,vatin
A01,01.06.18,31.12.99,CZ,CZ684824655
A01,01.06.18,31.12.99,DE,DE322857776
A01,01.06.18,31.12.99,ES,ESA81405219
A01,01.06.18,31.12.99,FR,FR17850992868
A01,01.06.18,31.12.99,GB,GB321836613
A01,01.06.18,31.12.99,IT,IT00231149998
A01,01.06.18,31.12.99,PL,PL5263266229
A02,01.06.18,31.12.99,CZ,CZ684962444
A02,01.06.18,31.12.99,DE,DE322467841
A02,01.06.18,31.12.99,ES,ESB87966545
A02,01.06.18,31.12.99,FR,FR 93 853250439
A02,01.06.18,31.12.99,GB,GB314776003
A02,01.06.18,31.12.99,IT,IT00247479991
A02,01.06.18,31.12.99,PL,PL5263278971
A03,01.06.18,31.12.99,CZ,CZ684811557
A03,01.06.18,31.12.99,DE,DE323303429
A03,01.06.18,31.12.99,ES,ESE71194724
A03,01.06.18,31.12.99,FR,FR36850619586
A03,01.06.18,31.12.99,GB,GB300427752
A03,01.06.18,31.12.99,IT,IT00231029992
A03,01.06.18,31.12.99,PL,PL5263264472
