UNIQUE_ACCOUNT_IDENTIFIER,ACTIVITY_PERIOD,SALES_CHANNEL,MARKETPLACE,TRANSACTION_TYPE,TRANSACTION_EVENT_ID,ACTIVITY_TRANSACTION_ID,TAX_CALCULATION_DATE,TRANSACTION_DEPART_DATE,TRANSACTION_ARRIVAL_DATE,TRANSACTION_COMPLETE_DATE,SELLER_SKU,ASIN,ITEM_DESCRIPTION,ITEM_MANUFACTURE_COUNTRY,QTY,ITEM_WEIGHT,TOTAL_ACTIVITY_WEIGHT,COST_PRICE_OF_ITEMS,PRICE_OF_ITEMS_AMT_VAT_EXCL,PROMO_PRICE_OF_ITEMS_AMT_VAT_EXCL,TOTAL_PRICE_OF_ITEMS_AMT_VAT_EXCL,SHIP_CHARGE_AMT_VAT_EXCL,PROMO_SHIP_CHARGE_AMT_VAT_EXCL,TOTAL_SHIP_CHARGE_AMT_VAT_EXCL,GIFT_WRAP_AMT_VAT_EXCL,PROMO_GIFT_WRAP_AMT_VAT_EXCL,TOTAL_GIFT_WRAP_AMT_VAT_EXCL,TOTAL_ACTIVITY_VALUE_AMT_VAT_EXCL,PRICE_OF_ITEMS_VAT_RATE_PERCENT,PRICE_OF_ITEMS_VAT_AMT,PROMO_PRICE_OF_ITEMS_VAT_AMT,TOTAL_PRICE_OF_ITEMS_VAT_AMT,SHIP_CHARGE_VAT_RATE_PERCENT,SHIP_CHARGE_VAT_AMT,PROMO_SHIP_CHARGE_VAT_AMT,TOTAL_SHIP_CHARGE_VAT_AMT,GIFT_WRAP_VAT_RATE_PERCENT,GIFT_WRAP_VAT_AMT,PROMO_GIFT_WRAP_VAT_AMT,TOTAL_GIFT_WRAP_VAT_AMT,TOTAL_ACTIVITY_VALUE_VAT_AMT,PRICE_OF_ITEMS_AMT_VAT_INCL,PROMO_PRICE_OF_ITEMS_AMT_VAT_INCL,TOTAL_PRICE_OF_ITEMS_AMT_VAT_INCL,SHIP_CHARGE_AMT_VAT_INCL,PROMO_SHIP_CHARGE_AMT_VAT_INCL,TOTAL_SHIP_CHARGE_AMT_VAT_INCL,GIFT_WRAP_AMT_VAT_INCL,PROMO_GIFT_WRAP_AMT_VAT_INCL,TOTAL_GIFT_WRAP_AMT_VAT_INCL,TOTAL_ACTIVITY_VALUE_AMT_VAT_INCL,TRANSACTION_CURRENCY_CODE,COMMODITY_CODE,STATISTICAL_CODE_DEPART,STATISTICAL_CODE_ARRIVAL,COMMODITY_CODE_SUPPLEMENTARY_UNIT,ITEM_QTY_SUPPLEMENTARY_UNIT,TOTAL_ACTIVITY_SUPPLEMENTARY_UNIT,PRODUCT_TAX_CODE,DEPATURE_CITY,DEPARTURE_COUNTRY,DEPARTURE_POST_CODE,ARRIVAL_CITY,ARRIVAL_COUNTRY,ARRIVAL_POST_CODE,SALE_DEPART_COUNTRY,SALE_ARRIVAL_COUNTRY,TRANSPORTATION_MODE,DELIVERY_CONDITIONS,SELLER_DEPART_VAT_NUMBER_COUNTRY,SELLER_DEPART_COUNTRY_VAT_NUMBER,SELLER_ARRIVAL_VAT_NUMBER_COUNTRY,SELLER_ARRIVAL_COUNTRY_VAT_NUMBER,TRANSACTION_SELLER_VAT_NUMBER_COUNTRY,TRANSACTION_SELLER_VAT_NUMBER,BUYER_VAT_NUMBER_COUNTRY,BUYER_VAT_NUMBER,VAT_CALCULATION_IMPUTATION_COUNTRY,TAXABLE_JURISDICTION,TAXABLE_JURISDICTION_LEVEL,VAT_INV_NUMBER,VAT_INV_CONVERTED_AMT,VAT_INV_CURRENCY_CODE,VAT_INV_EXCHANGE_RATE,VAT_INV_EXCHANGE_RATE_DATE,EXPORT_OUTSIDE_EU,INVOICE_URL,BUYER_NAME,ARRIVAL_ADDRESS,SUPPLIER_NAME,SUPPLIER_VAT_NUMBER
A2SB1NLSCTA007,2020-JAN,AFN,N/A,FC_TRANSFER,4771817619,4771817619,,28-01-2020,30-01-2020,30-01-2020,AG-WETSUIT-CONN-SEAG-21-03,B07P1F2R2D,Wetsuit Connery with seagull on top M (ed. 2020),,1,1.25,1.25,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Sosnowiec,PL,41-208,Dobroviz,CZ,25261,,,TRANSPORT_BY_ROAD,XXX,,,,,,,,,,,,,,,,,,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,214-1448457-2676716,EC6kv22rs,30-01-2020,30-01-2020,,30-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,,,,,,,58.14,0.19,11.0466,0.00,11.0466,,0,0,0,,,,,11.0466,69.1866,0.00,69.1866,0,0,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Kolbaskowo,PL,72-001,Lindern (Oldenburg),DE,49699,PL,DE,CONSIGNMENT_BY_POST,DAP,,,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-223,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,212-6864247-8482824,EJlGV5lQM,30-01-2020,30-01-2020,,30-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,,,,,,,58.14,0.19,11.0466,0.00,11.0466,,0,0,0,,,,,11.0466,69.1866,0.00,69.1866,0,0,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Frankenthal (Pfalz),DE,67227,Fellbach,DE,70736,DE,DE,CONSIGNMENT_BY_POST,DAP,DE,DE312256776,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-226,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,212-5267511-7218525,EJ58HphVF,30-01-2020,30-01-2020,,30-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,,,,,,,58.14,0.19,11.0466,0.00,11.0466,,0,0,0,,,,,11.0466,69.1866,0.00,69.1866,0,0,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Graben,DE,86836,Horgau,DE,86497,DE,DE,CONSIGNMENT_BY_POST,DAP,DE,DE312256776,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-228,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,216-6177411-2584759,EJYWnBFWc,30-01-2020,30-01-2020,,30-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,,,,,,,58.14,0.19,11.0466,0.00,11.0466,,0,0,0,,,,,11.0466,69.1866,0.00,69.1866,0,0,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Winsen an der Luhe,DE,21423,Clausthal-Zellerfeld,DE,38678,DE,DE,CONSIGNMENT_BY_POST,DAP,DE,DE312256776,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-227,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,215-8187586-7677847,ECPCdVm2L,30-01-2020,30-01-2020,,30-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,4.48,-4.48,0.0,,,,58.14,0.19,11.0466,0.00,11.0466,0.19,0.8512,-0.8512,0,,,,,11.0466,69.1866,0.00,69.1866,5.3312,-5.3312,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Sady,PL,62-080,Olsberg,DE,59939,PL,DE,CONSIGNMENT_BY_POST,DAP,,,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-224,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,215-7227151-1452813,EJg8xq2l7,30-01-2020,30-01-2020,,30-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,,,,,,,58.14,0.19,11.0466,0.00,11.0466,,0,0,0,,,,,11.0466,69.1866,0.00,69.1866,0,0,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Bielany Wroclawskie,PL,55-040,Karlsruhe,DE,76199,PL,DE,CONSIGNMENT_BY_POST,DAP,,,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-225,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,REFUND,212-6621686-1472825,amzn1:crow:fiyitJb2Romyr1+8mkE/+Q,20-01-2020,,,30-01-2020,AGS-SC-MOONRAKER-21-44,B07DFKHVXK,Safe Cracker Moonraker incl. X-ray (ed. 2020),,1,3.4,3.4,,-163.62,,-163.62,,,,,,,-163.62,0.19,-31.0878,0.00,-31.0878,,0,0,0,,,,,-31.0878,-194.7078,0.00,-194.7078,0,0,0,0,0,0,-194.7078,EUR,,,,,,,A_GEN_STANDARD,Bielany Wroclawskie,,55-040,Kerpen,,50171,PL,DE,CONSIGNMENT_BY_POST,DAP,,,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,CN-DE-552614555-2121-22,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.it,SALE,412-7577246-2182155,EgfNRmh7F,28-01-2020,28-01-2020,,28-01-2020,AGS-WATCH-SUBMARINER-MOOR-03,B07DFN21JC,Watch Rolex Submariner Moore with magic magnet for deflecting bullets and other things,,1,0.25,0.25,,3551.4,,3551.4,,,,,,,3551.4,0.22,781.308,0.00,781.308,,0,0,0,,,,,781.308,4332.708,0.00,4332.708,0,0,0,0,0,0,4332.708,EUR,,,,,,,A_GEN_STANDARD,SEVREY CEDEX,FR,71311,Roma,IT,182,FR,IT,CONSIGNMENT_BY_POST,DAP,,,IT,IT10232149696,IT,IT10232149696,,,IT,ITALY,Country,RECEIPT-IT-552614555-2121-9,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,RETURN,127-1776118-4224253,A2SBX716CFOKM0,,,28-01-2020,28-01-2020,AG-LC-FORMCC-MOOR-1985,B07P1CWPKR,Lock Cracker Moore in handy credit card format,,1,0.01,0.01,,,,,,,,,,,0,,0,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,GAIMERSHEIM,DE,85080,Sosnowiec,PL,41-208,DE,DE,CONSIGNMENT_BY_POST,XXX,,,,,,,,,,,,,,,,,,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,216-1275261-5571110,EVt7X1zrF,27-01-2020,28-01-2020,,28-01-2020,AG-RING-SPECTRE-01-01,B07P2FRPDQ,Ring Spectre engraving black,,1,0.085,0.085,,387,,387.0,4.48,-4.48,0.0,,,,387.0,0.19,73.53,0.00,73.53,0.19,0.8512,-0.8512,0,,,,,73.53,460.53,0.00,460.53,5.3312,-5.3312,0,0,0,0,460.53,EUR,,,,,,,A_GEN_STANDARD,Sosnowiec,PL,41-208,Großholbach,DE,56412,PL,DE,CONSIGNMENT_BY_POST,DAP,,,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-217,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,214-6861527-7727844,EnYXVP2Gs,28-01-2020,28-01-2020,,28-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,,,,,,,58.14,0.19,11.0466,0.00,11.0466,,0,0,0,,,,,11.0466,69.1866,0.00,69.1866,0,0,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Winsen an der Luhe,DE,21423,Oberbessenbach,DE,63856,DE,DE,CONSIGNMENT_BY_POST,DAP,DE,DE312256776,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-221,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,212-1186722-7687814,EX8S2E25s,28-01-2020,28-01-2020,,28-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,,,,,,,58.14,0.19,11.0466,0.00,11.0466,,0,0,0,,,,,11.0466,69.1866,0.00,69.1866,0,0,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Winsen an der Luhe,DE,21423,Bottrop,DE,46236,DE,DE,CONSIGNMENT_BY_POST,DAP,DE,DE312256776,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-222,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,127-2725862-7646726,EXzXgvzXF,27-01-2020,28-01-2020,,28-01-2020,AGS-GRAPHOOK-WAILIN-1997-01,B07NZ8NK3P,Grappling Hook Wai Lin covered as wristband,,1,0.51,0.51,,359.46,,359.46,3.04,-3.04,0.0,,,,359.46,0.23,82.6758,0.00,82.6758,0.23,0.6992,-0.6992,0,,,,,82.6758,442.1358,0.00,442.1358,3.7392,-3.7392,0,0,0,0,442.1358,EUR,,,,,,,A_GEN_STANDARD,Sady,PL,62-080,Korbeek-Lo,BE,3360,PL,BE,CONSIGNMENT_BY_POST,DAP,PL,PL4243264221,,,PL,PL4243264221,,,BE,POLAND,Country,INV-PL-552614555-2121-26,24.09,PLN,4.3094,25-02-2020,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,REFUND,127-4618125-1148855,amzn1:crow:Z1Vr2GUiT+K4kgwHh47lYw,21-01-2020,,,28-01-2020,AG-LC-FORMCC-MOOR-1985,B07P19M8VW,Lock Cracker Moore in handy credit card format,,1,0.01,0.01,,-35.73,,-35.73,,,,,,,-35.73,0.19,-6.7887,0.00,-6.7887,,0,0,0,,,,,-6.7887,-42.5187,0.00,-42.5187,0,0,0,0,0,0,-42.5187,EUR,,,,,,,A_GEN_STANDARD,Bad Hersfeld,,36251,Leipzig,,4105,DE,DE,CONSIGNMENT_BY_POST,DAP,DE,DE312256776,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,CN-DE-552614555-2121-20,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,212-5812582-8847514,E2Xp52zxF,27-01-2020,28-01-2020,,28-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07SMXNBZT,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,58.14,,58.14,3.36,-3.36,0.0,,,,58.14,0.19,11.0466,0.00,11.0466,0.19,0.6384,-0.6384,0,,,,,11.0466,69.1866,0.00,69.1866,3.9984,-3.9984,0,0,0,0,69.1866,EUR,,,,,,,A_GEN_STANDARD,Sady,PL,62-080,Plauen,DE,8523,PL,DE,CONSIGNMENT_BY_POST,DAP,,,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-218,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,SALE,212-6751478-5174742,E6MMqszwF,27-01-2020,28-01-2020,,28-01-2020,AGS-GRAPHOOK-WAILIN-1997-01,B07DG3T61N,Grappling Hook Wai Lin covered as wristband,,1,0.51,0.51,,359.46,,359.46,5.0,,5.0,,,,364.46,0.19,69.2474,0.00,69.2474,0.19,0.95,0.00,0.95,,,,,70.1974,428.7074,0.00,428.7074,5.95,0.00,5.95,0,0,0,434.6574,EUR,,,,,,,A_GEN_STANDARD,Sosnowiec,PL,41-208,Dresden,DE,1326,PL,DE,CONSIGNMENT_BY_POST,DAP,,,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,INV-DE-552614555-2121-220,,,,,NO,,,,,
A2SB1NLSCTA007,2020-JAN,AFN,amazon.de,REFUND,127-4618125-1148855,amzn1:crow:mdcqV1aFRle+tnXUszESPQ,21-01-2020,,,28-01-2020,AG-WETSUIT-CONN-SEAG-21-04,B07DFK545S,Wetsuit Connery with seagull on top L (ed. 2020),,1,1.25,1.25,,-58.14,,-58.14,,,,,,,-58.14,0.19,-11.0466,0.00,-11.0466,,0,0,0,,,,,-11.0466,-69.1866,0.00,-69.1866,0,0,0,0,0,0,-69.1866,EUR,,,,,,,A_GEN_STANDARD,Sosnowiec,,41-208,Leipzig,,4105,PL,DE,CONSIGNMENT_BY_POST,DAP,,,DE,DE312256776,DE,DE312256776,,,DE,GERMANY,Country,CN-DE-552614555-2121-21,,,,,NO,,,,,
